"language","subfam","UT001","UT002","UT003","UT004","UT005","UT006","UT007","UT008","UT009","UT010","UT011","UT012","UT013","UT014","UT015","UT016","UT017","UT018","UT019","UT020","UT021","UT022","UT023","UT024","UT025","UT026","UT027","UT028","UT029","UT030","UT031","UT032","UT033","UT034","UT035","UT036","UT037","UT038","UT039","UT040","UT042","UT043","UT044","UT045","UT046","UT047","UT048","UT049","UT050","UT051","UT052","UT053","UT054","UT055","UT056","UT057","UT058","UT059","UT060","UT061","UT062","UT063","UT064","UT065","UT066","UT067","UT068","UT069","UT070","UT071","UT072","UT073","UT074","UT075","UT076","UT077","UT078","UT079","UT080","UT081","UT082","UT083","UT084","UT085","UT086","UT087","UT088","UT089","UT090","UT091","UT092","UT093","UT094","UT095","UT096","UT097","UT098","UT099","UT100","UT101","UT102","UT103","UT104","UT105","UT106","UT107","UT108","UT109","UT110","UT111","UT112","UT113","UT114","UT115","UT116","UT117","UT118","UT119","UT120","UT121","UT122","UT123","UT124","UT125","UT126","UT127","UT128","UT129","UT130","UT131","UT132","UT133","UT134","UT135","UT136","UT137","UT138","UT139","UT140","UT141","UT142","UT143","UT144","UT145","UT146","UT147","UT148","UT149","UT150","UT151","UT152","UT153","UT154","UT155","UT156","UT157","UT158","UT159","UT160","UT161","UT162","UT163","UT164","UT165","UT166"
"Central_Veps","Finnic","0","1","0","1","1","0","1","0","0","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0"
"Courland_Livonian","Finnic","0","0","0","1","1","0","1","1","0","0","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1","0","0","1","1","1","0","1","0","1","1","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","1","0","0","1","0","0","1","1","0","1","0","1","0","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","N/A","1","0","0","0","0","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1"
"East_Mansi","Ugric","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","1","1","1","1","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","?","?","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0"
"Erzya","Mordvin","0","0","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","0","1","1","1","0","0","0","0","1","0","1","1","1","1","1","0","1","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","1","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0"
"Estonian","Finnic","0","0","0","1","1","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","1","1","1","0","1","0","0","1","1","0","0","1","1","0","1","1","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","N/A","1","1","0","0","0","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1"
"Finnish","Finnic","0","1","0","1","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","1","1","0","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1"
"Forest_Enets","Samoyed","1","0","1","0","1","1","1","1","0","1","0","1","0","1","0","1","1","?","?","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","0","1","1","1","1","0","1","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","1","0","1","1","0","1","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","?","?","?","?","0","1","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0"
"Hill_Mari","Mari","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","1","1","0","1","0","1","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","1","0","1","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0"
"Hungarian","Ugric","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","0","1","1","0","1","0","1","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","1","1","1","1","0","0","0","1","0","1","1","1","0","1","1","1","0","0","1","1","1","0","1","1","0","0","0","1","1","1","1","0","0","1","0","0","1","1","1","0","0","1","0","1","1","1","0","0","1","1","0","1","1","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","1","0","1","1","1","0","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0"
"Inari_Saami","Saami","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","1","1","1","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","N/A","1","1","0","0","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","1","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","1","0","1","1","1"
